Finding_ID,Branch,Audit_Date,Area,Finding,Severity,Regulation_Reference,Recommendation,Management_Response,Owner,Due_Date,Status
AF/2025/001,Andheri West,2025-01-05,KYC Compliance,3 loan files missing updated Aadhaar copies. KYC not re-verified post address change.,High,RBI KYC Master Direction 2016,Immediate re-KYC for affected accounts. Strengthen address change trigger.,Accepted. Re-KYC initiated.,Branch Ops Head,2025-01-20,In Progress
AF/2025/002,Pune Main,2025-01-05,Document Filing,Physical files not arranged chronologically. 5 files missing valuation reports in hard copy.,Medium,Internal SOP,Implement digital checklist verification before file closure.,Accepted. Digital checklist rolled out.,Branch Admin,2025-01-25,In Progress
AF/2025/003,Koramangala,2025-01-06,LTV Compliance,2 cases with LTV exceeding 80% without documented deviation approval in file.,Critical,RBI Housing Loan Guidelines,Post-facto deviation approval to be obtained immediately. Process control strengthened.,Escalated to Credit Head. Deviation memos being prepared.,Credit Manager,2025-01-15,Overdue
AF/2025/004,Delhi Hub,2025-01-06,NRI Documentation,1 NRI file missing FEMA compliance declaration. Power of Attorney not independently verified.,High,FEMA 1999 / RBI NRI Guidelines,Obtain FEMA declaration. POA verification through Indian consulate.,Accepted. Documents requested from customer.,NRI Desk Head,2025-01-22,In Progress
AF/2025/005,Chennai Main,2025-01-07,Interest Rate,3 accounts found with manually overridden rates without documented approval.,Critical,Internal Pricing Policy,System controls to prevent manual rate override. Approval trail mandatory.,IT team notified. System change in UAT.,IT + Product Head,2025-02-01,Pending
AF/2025/006,Bandra,2025-01-07,Customer Communication,Sanction letters missing mandatory HDFC Bank merger disclaimer text.,Low,SEBI/RBI Communication Guidelines,Updated template to be deployed. Existing letters to be supplemented.,Template updated. Supplementary letters being sent.,Legal Team,2025-01-30,In Progress
AF/2025/007,Jayanagar,2025-01-10,Anti-Money Laundering,Suspicious transaction report not filed for cash deposit of INR 12L against loan account within 30-day window.,Critical,PMLA Act 2002 / RBI STR Guidelines,Immediate STR filing with FIU-IND. Retrain branch staff on AML thresholds.,STR filed. Training scheduled for all branch staff.,AML Compliance Officer,2025-01-18,Remediated
AF/2025/008,Gurgaon Sector 44,2025-01-10,RERA Compliance,"Loans sanctioned for 4 units in project with lapsed RERA registration. No verification of RERA validity at sanction stage.",High,RERA Act 2016,Mandatory RERA validity check to be added in pre-sanction checklist. System alert for RERA expiry.,Accepted. RERA validation API integration proposed.,Credit Policy Head,2025-02-15,In Progress
AF/2025/009,Whitefield,2025-01-12,Insurance Compliance,"Home insurance not obtained for 8 disbursed loans. Insurance disclosure missing from 12 sanction letters.",High,IRDAI Regulations / NHB Guidelines,Ensure insurance procurement before disbursement. Update sanction letter template.,Insurance team engaged. Retrospective insurance being arranged.,Product Head,2025-02-10,Overdue
AF/2025/010,Salt Lake,2025-01-12,NACH/Mandate,"NACH mandates not registered for 15 accounts within 30 days of disbursement. 6 mandates rejected by banks.",Medium,RBI ECS/NACH Guidelines,Track NACH registration as mandatory post-disbursement milestone. Escalation mechanism for rejections.,Process redesign underway. Dashboard being built for tracking.,Operations Head,2025-02-20,In Progress
AF/2025/011,Hitech City,2025-01-14,Privacy/Data Protection,"Customer PAN and Aadhaar numbers visible in unencrypted email communications between branches.",Critical,IT Act 2000 / Data Protection Act,Immediate cessation of sharing PII via email. Deploy encrypted document sharing portal.,Email DLP rules activated. Encrypted portal deployment in 2 weeks.,CISO,2025-01-25,In Progress
AF/2025/012,Thane,2025-01-14,Credit Assessment,"CIBIL scores not refreshed for 7 applicants where report was older than 90 days at sanction.",Medium,RBI Credit Information Guidelines,System to auto-reject stale CIBIL reports. Mandatory refresh before sanction approval.,System change request raised. Manual checks implemented as interim.,Credit Manager,2025-02-28,Pending
AF/2025/013,Navi Mumbai,2025-01-15,Valuation Process,"Same valuer used for both original and re-valuation in 3 high-value cases above 2 Cr.",High,NHB Valuation Guidelines,Enforce different valuer for re-valuation through system control. Valuer rotation policy.,Accepted. Valuer allocation logic being updated in LOS.,Valuation Head,2025-02-15,In Progress
AF/2025/014,Connaught Place,2025-01-16,Fair Practice Code,"Loan rejection reasons not communicated in writing to 22 applicants within stipulated timeframe.",Medium,RBI Fair Practice Code,Auto-generate rejection letters with reason codes. Track delivery through registered post/email.,System enhancement in progress. Manual letters sent for backlog.,Branch Ops Head,2025-02-20,In Progress
AF/2025/015,Velachery,2025-01-16,DSA Supervision,"DSA commission reconciliation not done for 3 months. 2 DSAs operating without renewed agreements.",High,RBI Outsourcing Guidelines,Monthly DSA reconciliation mandatory. Agreement renewal tracker to be implemented.,DSA agreements renewed. Reconciliation backlog cleared.,Sales Head,2025-02-01,Remediated
AF/2025/016,Noida Sector 18,2025-01-18,Record Retention,"Closed loan files older than 8 years found in branch storage. Retention policy not followed for digital archival.",Low,Companies Act / Internal Policy,Transfer old files to central archive. Digital scanning and archival for files crossing retention period.,Archival agency engaged. Scanning to be completed in 6 weeks.,Branch Admin,2025-03-15,Pending
AF/2025/017,Baner,2025-01-18,PMAY Processing,"CLSS subsidy applications for 9 eligible borrowers not filed within 3 months of disbursement.",High,PMAY-U Guidelines / NHB Circulars,Designate PMAY nodal officer per branch. Auto-flag eligible cases for subsidy filing.,Accepted. Nodal officers designated. Backlog claims filed.,PMAY Cell Head,2025-02-10,In Progress
AF/2025/018,HSR Layout,2025-01-20,IT/Cyber Security,"Loan origination system password policy allows 4-character passwords. No MFA for credit officers.",Critical,RBI Cyber Security Framework,Enforce minimum 12-character passwords with complexity. MFA mandatory for all LOS users.,IT team implementing MFA. Password policy update in next release.,CISO,2025-02-05,In Progress
AF/2025/019,Powai,2025-01-20,Outsourcing Compliance,"Recovery agent training certification expired for 8 out of 25 deployed agents. No recent audit of agent conduct.",High,RBI Recovery Agent Guidelines,Suspend uncertified agents immediately. Quarterly conduct audit of all recovery agents.,Uncertified agents withdrawn. Re-training scheduled.,Collections Head,2025-02-10,Remediated
AF/2025/020,Anna Nagar,2025-01-22,Grievance Redressal,"47 customer complaints pending beyond 30-day resolution SLA. Escalation matrix not updated post-merger.",Medium,RBI Grievance Redressal Guidelines,Clear complaint backlog within 2 weeks. Update escalation matrix with merged entity contacts.,Backlog clearance task force created. Escalation matrix updated.,Customer Service Head,2025-02-15,In Progress
AF/2025/021,Malad West,2025-01-22,KYC Compliance,"Periodic KYC update not done for 35 high-risk customers due for review in Q3 2024.",High,RBI KYC Master Direction 2016,Immediate outreach to high-risk customers for KYC refresh. Automated reminder system to be built.,Outreach initiated. 12 of 35 updated so far.,Branch Ops Head,2025-02-20,In Progress
AF/2025/022,Jubilee Hills,2025-01-24,Anti-Money Laundering,"Cash transaction reports for 6 transactions above INR 10L not filed with FIU within prescribed timeline.",Critical,PMLA Act 2002,File CTRs immediately. Implement automated CTR generation from CBS.,CTRs filed retrospectively. CBS integration proposal submitted.,AML Compliance Officer,2025-02-01,Remediated
AF/2025/023,MG Road Bangalore,2025-01-24,LTV Compliance,"Top-up loan disbursed pushing combined LTV to 88% without fresh valuation or deviation approval.",Critical,RBI Housing Loan Guidelines / NHB Guidelines,Mandatory fresh valuation for all top-up requests. Combined LTV check before top-up disbursal.,Fresh valuation ordered. Deviation approval obtained post-facto.,Credit Manager,2025-02-05,Overdue
AF/2025/024,Vashi,2025-01-25,Document Filing,"E-stamps not verified for authenticity on 4 property documents. Stamp duty verification not performed.",Medium,Indian Stamp Act / State Stamp Acts,Integrate e-stamp verification API. Mandatory stamp duty verification in checklist.,API integration in progress. Manual checks as interim measure.,Legal Team,2025-03-01,Pending
AF/2025/025,Indiranagar,2025-01-26,Customer Communication,"Pre-EMI interest calculation methodology not explained to 18 under-construction borrowers at disbursement.",Low,RBI Fair Practice Code,Include pre-EMI calculation sheet as mandatory annexure to disbursement advice.,Template updated. Training given to disbursement team.,Product Head,2025-02-28,Closed
AF/2025/026,Rohini,2025-01-26,NRI Documentation,"TDS certificates under Section 195 not issued to 5 NRI borrowers for interest deducted on deposits.",Medium,Income Tax Act / FEMA Guidelines,Automated TDS certificate generation for NRI accounts. Quarterly issuance compliance check.,System enhancement raised with IT. Manual certificates being issued.,NRI Desk Head,2025-02-28,In Progress
AF/2025/027,Satellite Ahmedabad,2025-01-28,RERA Compliance,"Builder agreement template used for 3 projects not aligned with state RERA model agreement format.",Medium,RERA Act 2016 / Gujarat RERA Rules,Legal team to vet all builder agreements against state RERA model. Reject non-compliant templates.,Legal review initiated. 1 of 3 projects corrected.,Legal Team,2025-03-10,In Progress
AF/2025/028,Hadapsar,2025-01-28,Insurance Compliance,"Fire insurance sum insured less than outstanding principal in 11 cases. Policy renewal not tracked.",High,NHB Guidelines / IRDAI Regulations,Annual insurance adequacy review. Automated renewal tracking and sum insured adequacy check.,Insurance review process redesigned. System alerts configured.,Product Head,2025-02-20,In Progress
AF/2025/029,Adyar,2025-01-30,Credit Assessment,"Income assessment for 5 self-employed borrowers based on ITR alone without GST return cross-verification.",Medium,RBI Income Assessment Guidelines,Mandatory GST return verification for all self-employed applicants above 50L loan amount.,Process note updated. Training given to credit analysts.,Credit Manager,2025-02-28,Closed
