Project_Name,Builder,RERA_Number,Location,City,Type,Total_Units,Sold_Units,HDFC_Exposure_Cr,OC_Expected_Date,Current_Status,Risk_Rating,Remarks
Prestige Lakeside,Prestige Group,PRM/KA/RERA/2022/001234,Whitefield,Bangalore,Residential - Premium,450,380,85.2,2025-06-30,On Track,Low,Tier-1 builder. Construction on schedule. Good sales velocity.
Lodha Palava Phase 3,Lodha Group,P52000028532,Dombivli,Mumbai MMR,Residential - Affordable,1200,650,42.8,2025-09-30,Slight Delay,Medium,Phase 2 delays impacting Phase 3. Builder committed to revised timeline.
Godrej Infinity,Godrej Properties,P52100028765,Keshav Nagar,Pune,Residential - Premium,280,195,38.5,2025-03-31,On Track,Low,OC application filed. Expected within 2 months.
Mantri Serenity,Mantri Developers,PRM/KA/RERA/2023/005678,Kanakapura Road,Bangalore,Residential - Mid,180,90,15.2,2026-03-31,On Track,Low,New project. Early stage. Builder reputation good.
ABC Homes Galaxy,ABC Constructions,MH/REG/2023/009876,Virar,Mumbai MMR,Residential - Affordable,800,200,28.4,2025-12-31,Significant Delay,High,Builder facing cash flow issues. 40% construction pending. HDFC exposure high relative to progress.
Shapoorji BKC Tower,Shapoorji Pallonji,P51700028901,BKC,Mumbai,Commercial to Residential,120,85,62.3,2025-04-30,On Track,Low,Premium location. Strong demand. Near completion.
Green Valley Villas,Local Builder Ltd,TN/REG/2024/002345,OMR,Chennai,Villa Project,50,15,8.2,2026-06-30,Early Stage,Medium,Small builder. Limited track record. Enhanced monitoring required.
Sobha Dream Acres,Sobha Limited,PRM/KA/RERA/2021/003456,Balagere,Bangalore,Residential - Mid,2000,1650,125.4,2025-08-31,On Track,Low,Phase 1 completed and OC received. Phase 2 nearing completion. Excellent sales.
Brigade El Dorado,Brigade Group,PRM/KA/RERA/2022/004567,Bagalur,Bangalore,Township,3500,2100,210.6,2026-12-31,On Track,Low,Multi-phase township. Phase 1 and 2 complete. Phase 3 under construction. Strong builder fundamentals.
DLF The Crest,DLF Limited,DLRERA2018P0019,Golf Course Road,Delhi NCR,Residential - Premium,350,310,180.5,2025-05-31,Completed,Low,OC received Dec 2024. Possession handover in progress. 95% collection done.
Tata Serein,Tata Housing,P51800032156,Thane West,Mumbai MMR,Residential - Mid,600,420,52.3,2025-12-31,On Track,Low,Tata brand. Strong demand. Construction ahead of schedule.
Puravankara Provident Park,Puravankara Ltd,PRM/KA/RERA/2023/006789,Thanisandra,Bangalore,Residential - Affordable,850,380,32.1,2026-06-30,Slight Delay,Medium,Labour shortage caused 2-month delay. Builder has revised plan. Monitoring quarterly.
Mahindra Happinest,Mahindra Lifespaces,P52000035678,Palghar,Mumbai MMR,Residential - Affordable,1500,680,28.5,2026-03-31,On Track,Low,Affordable housing project. PMAY eligible. Good government support. Infrastructure developing.
Oberoi Eternia,Oberoi Realty,P51500038901,Mulund,Mumbai,Residential - Premium,200,175,145.8,2025-06-30,On Track,Low,Super premium project. Near completion. High-value units. Excellent collection efficiency.
Hiranandani Fortune City,Hiranandani Group,P51200041234,Panvel,Mumbai MMR,Township,4200,2800,285.3,2027-12-31,On Track,Low,Mega township. Multiple phases. Phases 1-3 complete. Strong infrastructure investment by builder.
L&T Raintree Boulevard,L&T Realty,PRM/KA/RERA/2022/007890,Hebbal,Bangalore,Residential - Premium,500,350,95.7,2025-09-30,Slight Delay,Low,Minor delay due to utility approvals. Builder financially strong. No risk to completion.
Kolte-Patil Life Republic,Kolte-Patil Developers,P52100044567,Hinjewadi,Pune,Township,6000,3200,175.2,2028-03-31,On Track,Low,Integrated township. Multiple phases ongoing. Consistent delivery track record. IT corridor demand strong.
Merlin Rise,Merlin Group,HIRA/P/NOR/2023/001234,Rajarhat,Kolkata,Residential - Mid,450,180,22.6,2026-09-30,On Track,Low,Reputed Kolkata builder. Good sales momentum. Construction on schedule.
Sunteck City,Sunteck Realty,P51700047890,Goregaon West,Mumbai,Residential - Premium,750,520,168.4,2025-12-31,Slight Delay,Medium,4-month delay due to BMC approvals. Builder financially stable. Premium location ensures demand.
Rustomjee Seasons,Rustomjee Group,P51800050123,Bandra East,Mumbai,Residential - Premium,180,155,112.5,2025-07-31,On Track,Low,Near completion. Prime BKC-adjacent location. Strong secondary market values. Low risk.
Piramal Vaikunth,Piramal Realty,P51900052456,Thane West,Mumbai MMR,Residential - Mid,1100,650,78.9,2026-06-30,On Track,Low,Piramal brand strength. Good amenities. Steady sales. Phase 1 handover done.
Kalpataru Magnus,Kalpataru Group,P51600054789,Bandra East,Mumbai,Residential - Premium,300,240,135.2,2025-08-31,On Track,Low,Premium project nearing completion. Kalpataru reputation excellent. High-net-worth buyer profile.
Marathon Nexworld,Marathon Group,P52000057012,Dombivli East,Mumbai MMR,Residential - Affordable,2500,1100,62.4,2026-12-31,Slight Delay,Medium,Large affordable project. 3-month delay. Builder has multiple ongoing projects. Cash flow being monitored.
Hubtown Sunstone,Hubtown Ltd,P51700059345,Bandra East,Mumbai,Residential - Premium,220,95,45.8,2026-09-30,Significant Delay,High,9-month delay. Builder facing litigation on land title. NCLT proceedings impacting cash flow. Enhanced monitoring.
Man Opus,Man Infraconstruction,P52100061678,Dahisar,Mumbai MMR,Residential - Mid,350,180,28.3,2026-03-31,On Track,Low,Progressing well. Builder has good completion track record in western suburbs.
Prestige City,Prestige Group,P52100063901,Mulshi,Pune,Township,5000,1800,142.6,2028-06-30,On Track,Low,Large township by Tier-1 builder. Phase 1 on track. Strong pre-sales. Low risk.
Godrej Nurture,Godrej Properties,HIRA/P/SOU/2022/003456,Electronic City,Bangalore,Residential - Mid,480,290,42.1,2025-12-31,On Track,Low,Godrej brand. Good location near IT hub. Construction on schedule. 75% sold.
Lodha Amara,Lodha Group,P51800066234,Thane West,Mumbai MMR,Residential - Mid,3000,2400,185.7,2025-09-30,Slight Delay,Low,Massive project. Minor 2-month delay in Tower 8. Overall project nearly complete. Most towers delivered.
Sobha Indraprastha,Sobha Limited,PRM/KA/RERA/2023/008901,Rajajinagar,Bangalore,Residential - Premium,120,85,68.4,2026-03-31,On Track,Low,Premium Sobha project. Excellent construction quality. Central Bangalore location.
DLF The Arbour,DLF Limited,RC/REP/HARERA/GGM/2022/567,Sector 63,Delhi NCR,Residential - Premium,1000,780,320.5,2026-06-30,On Track,Low,DLF flagship. Highest sales velocity in NCR. Premium pricing. Blue-chip asset.
Tata La Vida,Tata Housing,P52100068567,Sector 113,Delhi NCR,Residential - Mid,700,450,58.2,2026-09-30,Slight Delay,Medium,3-month delay due to monsoon impact. Tata Housing committed to revised timeline. Noida Expressway location.
Shapoorji Joyville,Shapoorji Pallonji,P52100070890,Hadapsar,Pune,Residential - Affordable,1800,950,48.5,2026-12-31,On Track,Low,Affordable housing by reputed builder. Good connectivity. PMAY eligible units available.
Brigade Oasis,Brigade Group,PRM/KA/RERA/2023/010234,Devanahalli,Bangalore,Villa Project,200,120,55.3,2026-06-30,On Track,Low,Premium villa project near airport. Brigade reputation. Steady sales to NRI and senior buyers.
Puravankara Zenium,Puravankara Ltd,PRM/KA/RERA/2024/012567,Hosakerehalli,Bangalore,Residential - Premium,280,80,18.5,2027-03-31,Early Stage,Low,Recently launched. Puravankara brand. Good early response. Under enhanced monitoring as early stage.
Mahindra Eden,Mahindra Lifespaces,TN/01/Building/2023/045,Mahindra City,Chennai,Villa Project,150,75,32.4,2026-03-31,On Track,Low,Green certified villa project. Integrated with Mahindra World City. Sustainable design premium.
Radiance Royale,Radiance Realty,TN/01/Building/2022/078,Perungudi,Chennai,Residential - Mid,320,200,24.8,2025-12-31,Slight Delay,Medium,Local Chennai builder. 4-month delay. Construction 70% complete. Sales moderate.
Assetz 63 Degree East,Assetz Property,PRM/KA/RERA/2022/014890,Sarjapur Road,Bangalore,Residential - Mid,750,510,65.2,2026-03-31,On Track,Low,Well-designed project. IT corridor demand. Builder delivering consistently.
Casagrand Sereno,Casagrand Builder,TN/01/Building/2023/112,Thalambur,Chennai,Residential - Affordable,900,380,28.9,2026-09-30,On Track,Low,Leading Chennai builder. Affordable segment expertise. Good sales velocity.
Adani Shantigram,Adani Realty,RAJ/AHMEDABAD/AHMEDABAD/RAA02345/170720XX,SG Highway,Ahmedabad,Township,8000,4500,245.8,2028-12-31,On Track,Low,Mega township. Multi-phase. Phases 1-5 complete. Adani Group backing. Low risk.
Arvind Sporcia,Arvind SmartSpaces,RAJ/AHMEDABAD/AHMEDABAD/RAA04567/180320XX,South Bopal,Ahmedabad,Residential - Mid,400,250,22.1,2026-03-31,On Track,Low,Ahmedabad developer. Good track record. Bopal micro-market performing well.
Jain Dream One,Jain Group,HIRA/P/NOR/2022/004567,New Town,Kolkata,Residential - Premium,600,280,48.5,2026-12-31,Slight Delay,Medium,Tallest tower in East India. Complex construction. 5-month delay. Builder has secured additional funding.
Mani Tirumala,Mani Group,HIRA/P/SOU/2023/005678,Rajarhat,Kolkata,Residential - Mid,500,310,28.4,2026-06-30,On Track,Low,Reputed Kolkata developer. Multiple completed projects in area. Good buyer confidence.
PS Group Vinayak,PS Group,HIRA/P/NOR/2023/006789,Newtown Action Area,Kolkata,Residential - Affordable,750,280,18.2,2027-03-31,On Track,Low,Affordable segment leader in Kolkata. Good government scheme tie-ups. Steady demand.
Rajesh Lifespaces Torres,Rajesh LifeSpaces,P51800073456,Thane West,Mumbai MMR,Residential - Mid,400,145,32.6,2026-12-31,Significant Delay,High,12-month delay. Cash flow issues. Builder seeking PE funding. Construction at 45%. Enhanced weekly monitoring.
Shriram Codename Break Free,Shriram Properties,PRM/KA/RERA/2023/016123,Electronic City,Bangalore,Residential - Affordable,1200,620,35.8,2026-06-30,On Track,Low,Value housing near IT hub. Strong demand from young professionals. Shriram brand reliability.
Aparna Sarovar Zenith,Aparna Constructions,P02400005234,Nallagandla,Hyderabad,Residential - Premium,350,210,45.2,2026-06-30,On Track,Low,Top Hyderabad builder. Financial Park proximity. Good sales and construction progress.
My Home Tarkshya,My Home Group,P02400007567,Kokapet,Hyderabad,Residential - Premium,500,380,88.5,2025-12-31,On Track,Low,Premium Hyderabad project. Financial district location. Near completion. Excellent demand.
Sumadhura Horizon,Sumadhura Group,PRM/KA/RERA/2023/018456,Whitefield,Bangalore,Residential - Mid,600,320,38.4,2026-09-30,On Track,Low,Growing Bangalore builder. Consistent delivery. IT corridor location ensures demand.
Golden Nest Housing,SK Builders,P52000075789,Vasai,Mumbai MMR,Residential - Affordable,500,120,15.8,2026-12-31,Stalled,Critical,Construction stopped for 6 months. Builder absconding. RERA complaint filed. Legal recovery process initiated. Borrowers distressed.
Sunshine Heights,Sunshine Developers,MH/REG/2022/012345,Ambernath,Mumbai MMR,Residential - Affordable,600,180,22.1,2026-06-30,Significant Delay,High,Local builder. 10-month delay. Labour and material cost overrun. Builder seeking cost revision from buyers. RERA hearing scheduled.
Vaishnavi Life,Vaishnavi Group,PRM/KA/RERA/2022/020789,Yelahanka,Bangalore,Residential - Mid,350,225,32.6,2025-12-31,On Track,Low,Reputed Bangalore builder. Project 80% complete. Good buyer profile.
Total Environment Pursuit of Happiness,Total Environment,PRM/KA/RERA/2021/022012,Whitefield,Bangalore,Residential - Premium,80,72,52.8,2025-06-30,Completed,Low,Ultra-premium villas. OC received. Possession underway. Full collection expected by Q2 FY26.
Mantra 24 West,Mantra Properties,P52100078345,Baner,Pune,Residential - Mid,320,185,18.5,2026-06-30,On Track,Low,Good Baner location. Pune IT demand. Builder has 5 completed projects.
