Alert_ID,Type,Indicator,Application_ID,Applicant,Branch,Amount_At_Risk_INR,Detection_Source,Detection_Date,Status,Investigation_Owner,Findings,Action_Taken
FA/2025/001,Income Fraud,Salary slip format inconsistency,HL/WR/2025/00215,Suspect A,Thane,4500000,System Auto-check,2025-01-08,Under Investigation,Fraud Team West,Salary slip font and format differs from employer standard template. HR verification pending.,Application on hold. Employer HR contacted.
FA/2025/002,Property Fraud,Duplicate property mortgage,HL/SR/2025/00318,Suspect B,Chennai Main,8000000,Legal Team Flag,2025-01-10,Confirmed Fraud,Legal + Fraud Team,Property already mortgaged with Canara Bank. Customer did not disclose existing charge.,Application rejected. Reported to police. CIBIL updated.
FA/2025/003,Identity Fraud,KYC document mismatch,HL/ER/2025/00122,Suspect C,Salt Lake,3200000,Branch Verification,2025-01-12,Under Investigation,Fraud Team East,Aadhaar photo does not match in-person appearance. PAN linked to different Aadhaar.,Application on hold. Physical verification ordered.
FA/2025/004,Valuation Fraud,Inflated property value,HL/WR/2025/00445,Suspect D,Pune Main,12000000,Second Valuation,2025-01-14,Confirmed Fraud,Fraud Team West,Original valuation: 2.4 Cr. Second valuation: 1.6 Cr. 50% overvaluation by empaneled valuer.,Valuer de-empaneled. Fresh valuation done. LTV recalculated.
FA/2025/005,Income Fraud,Bogus employer,HL/WR/2025/00556,Suspect E,Hitech City,2800000,Background Check,2025-01-15,Under Investigation,Fraud Team South,Company listed as employer has no GST registration and address is a virtual office.,Employer verification through field visit. Application suspended.
FA/2025/006,Document Forgery,Forged property sale deed,HL/SR/2025/00623,Suspect F,Adyar,15500000,Legal Team Flag,2025-01-18,Confirmed Fraud,Legal + Fraud Team,Sale deed registration number not found in sub-registrar records. Stamp paper serial invalid.,FIR lodged. Application rejected. CIBIL flagged. Borrower blacklisted.
FA/2025/007,Syndicate Fraud,Multiple applications from same ring,HL/WR/2025/00734,Suspect G,Borivali,22000000,Fraud Analytics Engine,2025-01-20,Escalated to Police,Fraud Team West,5 applications traced to same mobile number and email with different identities. Common employer reference.,All 5 applications rejected. Police complaint filed. Bank-wide alert issued.
FA/2025/008,Employment Fraud,Fake employment letter,HL/NR/2025/00845,Suspect H,Rajouri Garden,3800000,Branch Verification,2025-01-22,Confirmed Fraud,Fraud Team North,Employment letter header matched known forged template. Company confirmed no such employee on rolls.,Application rejected. DSA who sourced the lead terminated. CIBIL updated.
FA/2025/009,Builder Fraud,Phantom units sold,HL/WR/2025/00956,Suspect I,Panvel,45000000,Customer Tip,2025-01-24,Under Investigation,Legal + Fraud Team,Builder sold same 8 units to multiple buyers. Duplicate allotment letters with forged signatures.,Police complaint filed. RERA complaint lodged. Disbursements frozen for entire project.
FA/2025/010,Internal Fraud,Unauthorized rate override,HL/WR/2025/01067,Suspect J,Andheri East,6200000,Whistleblower,2025-01-26,Confirmed Fraud,Internal Audit + Vigilance,Branch credit officer reduced interest rate below minimum grid for 4 related-party loans without approval.,Employee suspended. Disciplinary action initiated. Rates corrected. RBI informed.
FA/2025/011,Insurance Fraud,Fake insurance policy,HL/SR/2025/01178,Suspect K,Velachery,2100000,System Auto-check,2025-01-28,Confirmed Fraud,Fraud Team South,Home insurance policy number not found in IRDAI database. Policy document is fabricated.,Application rejected. Insurer notified. CIBIL updated. Police complaint filed.
FA/2025/012,Loan Stacking,Multiple concurrent loan applications,HL/NR/2025/01289,Suspect L,Noida,8500000,CIBIL Alert,2025-01-30,Under Investigation,Fraud Team North,CIBIL inquiry alert shows 7 loan applications across 5 lenders within 15 days.,Application on hold. Cross-lender verification initiated. CIBIL monitoring enabled.
