Segment,Total_Accounts,Outstanding_INR_Cr,Avg_LTV_Percent,Avg_FOIR_Percent,NPA_Percent,SMA1_Percent,SMA2_Percent,Avg_CIBIL,Salaried_Percent,Self_Employed_Percent,Top_City,Avg_Ticket_Size_INR,Credit_Risk_Score,Fraud_Risk_Score,Property_Risk_Score,Market_Risk_Score,Operational_Risk_Score,Regulatory_Risk_Score,Overall_Risk_Rating
Home Loan - Salaried Metro,12500,6250,72.5,48.2,1.8,3.2,1.5,745,100,0,Mumbai,5000000,Low,Low,Low,Medium,Low,Low,Low
Home Loan - Salaried Tier1,8200,3280,74.8,50.1,2.3,4.1,2.0,725,100,0,Pune,4000000,Medium,Low,Low,Medium,Low,Low,Medium
Home Loan - Self Employed,6800,4080,78.2,55.6,3.8,5.8,3.2,695,0,100,Ahmedabad,6000000,High,High,Medium,Medium,Medium,Medium,High
LAP - Salaried,4500,3150,65.3,52.4,2.1,3.5,1.8,735,100,0,Bangalore,7000000,Medium,Low,Medium,Medium,Low,Low,Medium
LAP - Self Employed,3200,2880,70.8,58.9,4.5,6.2,3.8,680,0,100,Chennai,9000000,High,High,High,High,Medium,Medium,High
Affordable Housing PMAY,5600,1680,82.5,54.3,2.8,4.8,2.5,710,65,35,Nagpur,3000000,Medium,Medium,Medium,Low,Medium,Medium,Medium
Under Construction,3800,2280,76.4,49.8,1.5,2.8,1.2,740,72,28,Hyderabad,6000000,Low,Low,High,Medium,Low,Medium,Medium
NRI Home Loan,2100,2520,68.2,42.5,1.2,2.1,0.8,760,85,15,Mumbai,12000000,Low,Low,Medium,High,Medium,Low,Medium
Top-up Loans,4200,1260,55.8,51.2,2.5,3.8,2.0,730,75,25,Delhi,3000000,Medium,Low,Low,Medium,Low,Low,Low
Balance Transfer In,3100,1860,71.5,47.6,1.9,3.2,1.5,750,80,20,Bangalore,6000000,Low,Low,Low,Medium,Low,Low,Low
Home Loan - Salaried Tier2,5400,1620,76.2,52.8,3.1,5.2,2.8,715,100,0,Jaipur,3000000,Medium,Low,Medium,Medium,Medium,Low,Medium
Home Loan - Women Borrowers,4800,1920,72.8,46.5,1.6,2.8,1.2,748,78,22,Mumbai,4000000,Low,Low,Low,Low,Low,Low,Low
LAP - Business Owners,2800,2520,68.5,56.2,4.2,6.0,3.5,688,0,100,Delhi,9000000,High,High,High,High,Medium,Medium,High
Affordable Housing Non-PMAY,3200,960,80.5,55.8,3.5,5.5,3.0,705,60,40,Lucknow,3000000,Medium,Medium,Medium,Low,Medium,Medium,Medium
Plot Purchase Loan,2400,720,65.0,48.5,2.8,4.5,2.2,722,70,30,Pune,3000000,Medium,Low,High,High,Low,Medium,Medium
Home Loan - Defense Personnel,1800,720,70.2,42.8,0.8,1.5,0.5,755,100,0,Pune,4000000,Low,Low,Low,Low,Low,Low,Low
Construction Finance (Individual),1500,900,74.8,50.5,2.5,4.2,2.0,730,55,45,Bangalore,6000000,Medium,Low,High,Medium,Medium,Medium,Medium
Home Improvement Loan,2200,440,55.2,45.8,2.0,3.5,1.5,738,72,28,Hyderabad,2000000,Low,Low,Low,Medium,Low,Low,Low
Resale Property - Metro,6200,3100,73.5,49.2,2.0,3.4,1.6,742,82,18,Mumbai,5000000,Low,Low,Medium,Medium,Low,Low,Low
Resale Property - Tier1,4100,1640,75.8,51.5,2.6,4.3,2.2,728,78,22,Ahmedabad,4000000,Medium,Low,Medium,Medium,Low,Low,Medium
New Construction - Builder Tie-up,5800,3480,76.0,48.8,1.4,2.5,1.0,745,75,25,Bangalore,6000000,Low,Low,Low,Medium,Low,Low,Low
Home Loan - IT Sector,7500,3750,72.0,47.5,1.5,2.6,1.2,752,100,0,Hyderabad,5000000,Low,Low,Low,Medium,Low,Low,Low
Home Loan - Government Employees,3600,1080,68.5,44.2,0.9,1.8,0.6,758,100,0,Delhi,3000000,Low,Low,Low,Low,Low,Low,Low
LAP - Professionals (Doctors),1200,1080,62.5,48.8,1.8,3.0,1.4,740,0,100,Chennai,9000000,Low,Low,Medium,Medium,Low,Low,Low
LAP - Manufacturing SME,1800,1620,72.5,58.5,5.2,7.0,4.2,672,0,100,Ludhiana,9000000,High,High,High,High,High,Medium,High
Home Loan - Freelancers & Gig,1400,560,78.8,54.2,3.8,5.8,3.2,698,0,100,Bangalore,4000000,High,High,Medium,Medium,Medium,Medium,High
NRI LAP,800,960,60.5,38.5,1.0,1.8,0.6,762,80,20,Mumbai,12000000,Low,Low,Medium,High,Medium,Low,Medium
Staff Home Loan,2800,1400,80.0,48.0,0.5,1.0,0.3,765,100,0,Mumbai,5000000,Low,Low,Low,Low,Low,Low,Low
Rural Housing,1600,320,82.0,56.5,4.0,6.2,3.5,690,40,60,Nagpur,2000000,High,Medium,High,Low,High,Medium,High
Lease Rental Discounting,900,1350,60.0,42.0,1.2,2.0,0.8,752,30,70,Mumbai,15000000,Low,Low,Medium,Medium,Low,Low,Low
Home Loan - Senior Citizen,1200,480,65.8,52.5,2.2,3.8,1.8,735,60,40,Chennai,4000000,Medium,Low,Low,Medium,Low,Low,Medium
Commercial Property Purchase,1500,2250,65.0,55.8,3.2,5.0,2.8,710,20,80,Delhi,15000000,Medium,Medium,High,High,Medium,Medium,High
Home Loan - Second Property,2400,1680,70.2,50.5,2.4,4.0,2.0,732,75,25,Pune,7000000,Medium,Low,Low,Medium,Low,Low,Medium
Pradhan Mantri Awas Yojana Urban,4200,1260,85.0,55.0,2.5,4.5,2.2,712,58,42,Indore,2500000,Medium,Medium,Medium,Low,Medium,Medium,Medium
Home Loan - Teachers & Academicians,1800,540,70.5,45.2,1.2,2.2,0.8,748,100,0,Pune,3000000,Low,Low,Low,Low,Low,Low,Low
LAP - Retail Traders,2200,1540,70.0,57.8,4.8,6.5,3.8,678,0,100,Ahmedabad,7000000,High,High,High,Medium,Medium,Medium,High
Home Loan - Healthcare Workers,2000,800,71.5,44.8,1.0,2.0,0.7,750,100,0,Hyderabad,4000000,Low,Low,Low,Low,Low,Low,Low
Warehouse & Industrial Property,600,540,62.0,50.2,2.8,4.5,2.2,720,10,90,Pune,9000000,Medium,Low,High,Medium,Medium,Medium,Medium
Home Loan - Young Professional (<30),3800,1520,78.0,48.8,1.8,3.0,1.4,735,100,0,Bangalore,4000000,Low,Low,Low,Medium,Low,Low,Low
Home Loan - Joint (Husband-Wife),5200,2600,74.0,44.5,1.2,2.2,0.9,748,85,15,Mumbai,5000000,Low,Low,Low,Low,Low,Low,Low
LAP - MSME (Micro),3500,1400,72.8,58.0,5.5,7.5,4.5,668,0,100,Surat,4000000,High,High,High,Medium,High,Medium,High
Home Extension Loan,1800,360,58.5,46.2,2.2,3.6,1.6,732,68,32,Jaipur,2000000,Medium,Low,Low,Low,Low,Low,Low
Reverse Mortgage,400,120,45.0,NA,0.2,0.5,0.1,NA,50,50,Chennai,5000000,Low,Low,Low,Medium,Low,High,Medium
Home Loan - PSU Employees,2600,780,68.0,43.5,0.7,1.5,0.4,755,100,0,Delhi,3000000,Low,Low,Low,Low,Low,Low,Low
LAP - CA/CS Professionals,900,630,60.0,46.5,1.5,2.5,1.0,745,0,100,Mumbai,7000000,Low,Low,Medium,Medium,Low,Low,Low
Home Loan - Tier3 Cities,2200,440,78.5,54.5,3.8,6.0,3.2,700,65,35,Varanasi,2000000,Medium,Medium,High,Low,Medium,Medium,Medium
Composite Loan (Home + Interiors),1600,800,75.5,50.8,2.0,3.4,1.5,738,80,20,Hyderabad,5000000,Low,Low,Low,Medium,Low,Low,Low
Home Loan - Builders (Inventory),500,750,70.0,NA,3.5,5.5,3.0,710,0,100,Mumbai,15000000,High,Medium,High,High,Medium,Medium,High
Green Home Loan (Solar/EV ready),800,400,72.0,46.5,1.0,2.0,0.8,752,82,18,Bangalore,5000000,Low,Low,Low,Low,Low,Low,Low
Home Loan - Railway Employees,1400,420,68.2,43.0,0.8,1.6,0.5,752,100,0,Bhopal,3000000,Low,Low,Low,Low,Low,Low,Low
Super Prime (Income >30L pa),1200,1800,60.5,35.8,0.4,0.8,0.2,790,90,10,Mumbai,15000000,Low,Low,Low,Low,Low,Low,Low
Priority Sector Lending - EWS,3800,760,85.0,58.0,4.2,6.5,3.8,692,50,50,Nagpur,2000000,High,Medium,Medium,Low,High,High,High
Relocation Home Loan,1600,960,72.5,47.8,1.6,2.8,1.2,742,92,8,Bangalore,6000000,Low,Low,Low,Medium,Low,Low,Low
Home Loan - Banking Sector,2000,1000,72.0,44.0,0.6,1.2,0.4,760,100,0,Mumbai,5000000,Low,Low,Low,Low,Low,Low,Low
Festival Offer Portfolio (Oct-Dec),4500,2250,74.5,48.5,1.8,3.0,1.4,740,78,22,Pan-India,5000000,Low,Low,Low,Medium,Low,Low,Low
